,petal_length,petal_width,sepal_length,sepal_width,species
0,1.4,0.2,5.1,3.5,0
1,1.4,0.2,4.9,3.0,0
2,1.3,0.2,4.7,3.2,0
3,1.5,0.2,4.6,3.1,0
4,1.4,0.2,5.0,3.6,0
5,1.7,0.4,5.4,3.9,0
6,1.4,0.3,4.6,3.4,0
7,1.5,0.2,5.0,3.4,0
8,1.4,0.2,4.4,2.9,0
9,1.5,0.1,4.9,3.1,0
10,1.5,0.2,5.4,3.7,0
11,1.6,0.2,4.8,3.4,0
12,1.4,0.1,4.8,3.0,0
13,1.1,0.1,4.3,3.0,0
14,1.2,0.2,5.8,4.0,0
15,1.5,0.4,5.7,4.4,0
16,1.3,0.4,5.4,3.9,0
17,1.4,0.3,5.1,3.5,0
18,1.7,0.3,5.7,3.8,0
19,1.5,0.3,5.1,3.8,0
20,1.7,0.2,5.4,3.4,0
21,1.5,0.4,5.1,3.7,0
22,1.0,0.2,4.6,3.6,0
23,1.7,0.5,5.1,3.3,0
24,1.9,0.2,4.8,3.4,0
25,1.6,0.2,5.0,3.0,0
26,1.6,0.4,5.0,3.4,0
27,1.5,0.2,5.2,3.5,0
28,1.4,0.2,5.2,3.4,0
29,1.6,0.2,4.7,3.2,0
30,1.6,0.2,4.8,3.1,0
31,1.5,0.4,5.4,3.4,0
32,1.5,0.1,5.2,4.1,0
33,1.4,0.2,5.5,4.2,0
34,1.5,0.1,4.9,3.1,0
35,1.2,0.2,5.0,3.2,0
36,1.3,0.2,5.5,3.5,0
37,1.5,0.1,4.9,3.1,0
38,1.3,0.2,4.4,3.0,0
39,1.5,0.2,5.1,3.4,0
40,1.3,0.3,5.0,3.5,0
41,1.3,0.3,4.5,2.3,0
42,1.3,0.2,4.4,3.2,0
43,1.6,0.6,5.0,3.5,0
44,1.9,0.4,5.1,3.8,0
45,1.4,0.3,4.8,3.0,0
46,1.6,0.2,5.1,3.8,0
47,1.4,0.2,4.6,3.2,0
48,1.5,0.2,5.3,3.7,0
49,1.4,0.2,5.0,3.3,0
50,4.7,1.4,7.0,3.2,1
51,4.5,1.5,6.4,3.2,1
52,4.9,1.5,6.9,3.1,1
53,4.0,1.3,5.5,2.3,1
54,4.6,1.5,6.5,2.8,1
55,4.5,1.3,5.7,2.8,1
56,4.7,1.6,6.3,3.3,1
57,3.3,1.0,4.9,2.4,1
58,4.6,1.3,6.6,2.9,1
59,3.9,1.4,5.2,2.7,1
60,3.5,1.0,5.0,2.0,1
